algorithm	fanout	cascading	input_size	run	time
rank_unbounded	2	512	100000	0	0.146606
rank_unbounded	2	512	100000	1	0.137426
rank_unbounded	2	512	100000	2	0.137072
rank_unbounded	2	512	100000	3	0.152157
rank_unbounded	2	512	100000	4	0.137015
rank_unbounded	2	512	1000000	0	2.43266
rank_unbounded	2	512	1000000	1	2.44061
rank_unbounded	2	512	1000000	2	2.43222
rank_unbounded	2	1024	10000	0	0.0080328
rank_unbounded	2	1024	10000	1	0.00761315
rank_unbounded	2	1024	10000	2	0.00761626
rank_unbounded	2	1024	10000	3	0.00761426
rank_unbounded	2	1024	10000	4	0.00761055
rank_unbounded	2	1024	100000	0	0.156987
rank_unbounded	2	1024	100000	1	0.134685
rank_unbounded	2	1024	100000	2	0.136209
rank_unbounded	2	1024	100000	3	0.134852
rank_unbounded	2	1024	100000	4	0.134702
rank_unbounded	2	1024	1000000	0	2.46906
rank_unbounded	2	1024	1000000	1	2.47609
rank_unbounded	2	1024	1000000	2	2.46041
rank_unbounded	4	1	10000	0	0.00595608
rank_unbounded	4	1	10000	1	0.00437116
rank_unbounded	4	1	10000	2	0.00431517
rank_unbounded	4	1	10000	3	0.00424692
rank_unbounded	4	1	10000	4	0.00426298
rank_unbounded	4	1	100000	0	0.105853
rank_unbounded	4	1	100000	1	0.0860791
rank_unbounded	4	1	100000	2	0.086269
rank_unbounded	4	1	100000	3	0.0861493
rank_unbounded	4	1	100000	4	0.0861259
rank_unbounded	4	1	1000000	0	1.44197
rank_unbounded	4	1	1000000	1	1.45176
rank_unbounded	4	1	1000000	2	1.46564
rank_unbounded	4	1	1000000	3	1.46654
rank_unbounded	4	2	10000	0	0.00596486
rank_unbounded	4	2	10000	1	0.00506093
rank_unbounded	4	2	10000	2	0.00503659
rank_unbounded	4	2	10000	3	0.00504206
rank_unbounded	4	2	10000	4	0.00504472
rank_unbounded	4	2	100000	0	0.0949345
rank_unbounded	4	2	100000	1	0.0821564
rank_unbounded	4	2	100000	2	0.0819069
rank_unbounded	4	2	100000	3	0.0820892
rank_unbounded	4	2	100000	4	0.0819579
rank_unbounded	4	2	1000000	0	1.40003
rank_unbounded	4	2	1000000	1	1.41415
rank_unbounded	4	2	1000000	2	1.41483
rank_unbounded	4	2	1000000	3	1.41443
rank_unbounded	4	4	10000	0	0.00588707
rank_unbounded	4	4	10000	1	0.00550636
rank_unbounded	4	4	10000	2	0.00543108
rank_unbounded	4	4	10000	3	0.00543253
rank_unbounded	4	4	10000	4	0.00542816
rank_unbounded	4	4	100000	0	0.102588
rank_unbounded	4	4	100000	1	0.0786746
rank_unbounded	4	4	100000	2	0.0785237
rank_unbounded	4	4	100000	3	0.0785958
rank_unbounded	4	4	100000	4	0.0786882
rank_unbounded	4	4	1000000	0	1.3508
rank_unbounded	4	4	1000000	1	1.35913
rank_unbounded	4	4	1000000	2	1.35919
rank_unbounded	4	4	1000000	3	1.36162
rank_unbounded	4	8	10000	0	0.00602774
rank_unbounded	4	8	10000	1	0.00581721
rank_unbounded	4	8	10000	2	0.00580479
rank_unbounded	4	8	10000	3	0.00583046
rank_unbounded	4	8	10000	4	0.00580535
rank_unbounded	4	8	100000	0	0.0883061
rank_unbounded	4	8	100000	1	0.081095
rank_unbounded	4	8	100000	2	0.0811714
rank_unbounded	4	8	100000	3	0.0817506
rank_unbounded	4	8	100000	4	0.0811937
rank_unbounded	4	8	1000000	0	1.35189
rank_unbounded	4	8	1000000	1	1.35432
rank_unbounded	4	8	1000000	2	1.35796
rank_unbounded	4	8	1000000	3	1.35932
rank_unbounded	4	16	10000	0	0.00603848
rank_unbounded	4	16	10000	1	0.00594568
rank_unbounded	4	16	10000	2	0.0059394
rank_unbounded	4	16	10000	3	0.00598698
rank_unbounded	4	16	10000	4	0.00593798
