algorithm	fanout	cascading	input_size	run	time
rank_unbounded	2	1	1000000	0	1.97675
rank_unbounded	2	1	1000000	1	1.9873
rank_unbounded	2	1	1000000	2	1.98882
rank_unbounded	2	2	1000000	0	1.93973
rank_unbounded	2	2	1000000	1	1.93584
rank_unbounded	2	2	1000000	2	1.93868
rank_unbounded	2	4	1000000	0	1.83309
rank_unbounded	2	4	1000000	1	1.83521
rank_unbounded	2	4	1000000	2	1.83221
rank_unbounded	2	8	1000000	0	1.85372
rank_unbounded	2	8	1000000	1	1.8522
rank_unbounded	2	8	1000000	2	1.85458
rank_unbounded	2	16	1000000	0	1.93951
rank_unbounded	2	16	1000000	1	1.93922
rank_unbounded	2	16	1000000	2	1.94144
rank_unbounded	2	32	1000000	0	1.98208
rank_unbounded	2	32	1000000	1	1.98281
rank_unbounded	2	32	1000000	2	1.98334
rank_unbounded	2	64	1000000	0	2.05112
rank_unbounded	2	64	1000000	1	2.04817
rank_unbounded	2	64	1000000	2	2.06397
rank_unbounded	2	128	1000000	0	2.19349
rank_unbounded	2	128	1000000	1	2.20179
rank_unbounded	2	128	1000000	2	2.18892
rank_unbounded	2	256	1000000	0	2.28187
rank_unbounded	2	256	1000000	1	2.27989
rank_unbounded	2	256	1000000	2	2.27946
rank_unbounded	2	512	1000000	0	2.40515
rank_unbounded	2	512	1000000	1	2.40317
rank_unbounded	2	512	1000000	2	2.41925
rank_unbounded	2	1024	1000000	0	2.47142
rank_unbounded	2	1024	1000000	1	2.47105
rank_unbounded	2	1024	1000000	2	2.4679
rank_unbounded	4	1	1000000	0	1.46612
rank_unbounded	4	1	1000000	1	1.46614
rank_unbounded	4	1	1000000	2	1.46469
rank_unbounded	4	1	1000000	3	1.46782
rank_unbounded	4	2	1000000	0	1.39384
rank_unbounded	4	2	1000000	1	1.3939
rank_unbounded	4	2	1000000	2	1.40125
rank_unbounded	4	2	1000000	3	1.39135
rank_unbounded	4	4	1000000	0	1.34304
rank_unbounded	4	4	1000000	1	1.33678
rank_unbounded	4	4	1000000	2	1.33769
rank_unbounded	4	4	1000000	3	1.33589
rank_unbounded	4	8	1000000	0	1.32635
rank_unbounded	4	8	1000000	1	1.32497
rank_unbounded	4	8	1000000	2	1.32386
rank_unbounded	4	8	1000000	3	1.32564
rank_unbounded	4	16	1000000	0	1.34124
rank_unbounded	4	16	1000000	1	1.34169
rank_unbounded	4	16	1000000	2	1.3433
rank_unbounded	4	16	1000000	3	1.34225
rank_unbounded	4	32	1000000	0	1.39197
rank_unbounded	4	32	1000000	1	1.39043
rank_unbounded	4	32	1000000	2	1.39343
rank_unbounded	4	32	1000000	3	1.39178
rank_unbounded	4	64	1000000	0	1.44815
rank_unbounded	4	64	1000000	1	1.44632
rank_unbounded	4	64	1000000	2	1.44725
rank_unbounded	4	64	1000000	3	1.44476
rank_unbounded	4	128	1000000	0	1.54898
rank_unbounded	4	128	1000000	1	1.54864
rank_unbounded	4	128	1000000	2	1.54797
rank_unbounded	4	128	1000000	3	1.54693
rank_unbounded	4	256	1000000	0	1.65746
rank_unbounded	4	256	1000000	1	1.65631
rank_unbounded	4	256	1000000	2	1.65659
rank_unbounded	4	256	1000000	3	1.66305
rank_unbounded	4	512	1000000	0	1.82847
rank_unbounded	4	512	1000000	1	1.82809
rank_unbounded	4	512	1000000	2	1.83075
rank_unbounded	4	1024	1000000	0	1.88774
rank_unbounded	4	1024	1000000	1	1.88403
rank_unbounded	4	1024	1000000	2	1.88606
rank_unbounded	8	1	1000000	0	1.48364
rank_unbounded	8	1	1000000	1	1.48569
rank_unbounded	8	1	1000000	2	1.48266
rank_unbounded	8	1	1000000	3	1.48273
rank_unbounded	8	2	1000000	0	1.34323
rank_unbounded	8	2	1000000	1	1.34534
rank_unbounded	8	2	1000000	2	1.34159
rank_unbounded	8	2	1000000	3	1.34222
